LEAGUE,DIVISION,TEAM_NAME,SCHEDULE_LINK
CPL,Boys U10 Division 2,Monroe Premier FC Monroe Premier 2016 Boys Gold,https://system.gotsport.com/org_event/events/43740/schedules?team=3194786
CPL,Boys U10 Division 2,Cincinnati United CUSM 16B Bayern,https://system.gotsport.com/org_event/events/43740/schedules?team=3223063
CPL,Boys U10 Division 2,Cincy Galaxy SC Cincy Galaxy 2016B Navy,https://system.gotsport.com/org_event/events/43740/schedules?team=3119253
CPL,Boys U10 Division 2,FC Storm FC Storm B16 Loveland Orange,https://system.gotsport.com/org_event/events/43740/schedules?team=3162509
CPL,Boys U10 Division 2,Cincinnati United CUSE 16B Barcelona,https://system.gotsport.com/org_event/events/43740/schedules?team=3224494
CPL,Boys U10 Division 2,Cincy SC Cincy SC B16 Elite,https://system.gotsport.com/org_event/events/43740/schedules?team=3197605
CPL,Boys U10 Division 2,Cincinnati United CU Northwest 16B Atalanta,https://system.gotsport.com/org_event/events/43740/schedules?team=3229113
CPL,Boys U10 Division 3,Forest Hills FC Forest Hills FC B2016,https://system.gotsport.com/org_event/events/43740/schedules?team=3163359
CPL,Boys U10 Division 3,Kolping SC Kolping SC B16 Orange,https://system.gotsport.com/org_event/events/43740/schedules?team=3217797
CPL,Boys U10 Division 3,Cincy SC Cincy SC B16 Navy,https://system.gotsport.com/org_event/events/43740/schedules?team=3197726
CPL,Boys U10 Division 3,Lakota Futbol Club Lakota FC B16 Gray,https://system.gotsport.com/org_event/events/43740/schedules?team=3167916
CPL,Boys U10 Division 3,Madeira FC Madeira FC B2016 Blue,https://system.gotsport.com/org_event/events/43740/schedules?team=3170260
CPL,Boys U10 Division 3,Cincinnati Elite FC Cincinnati Elite FC B16 Gold-East,https://system.gotsport.com/org_event/events/43740/schedules?team=3219025
CPL,Boys U10 Division 3,Fusion FC NKY Fusion FC B16 Green,https://system.gotsport.com/org_event/events/43740/schedules?team=3220397
CPL,Boys U10 Division 3,Kings Hammer Soccer Club KHPA NKY B16-1,https://system.gotsport.com/org_event/events/43740/schedules?team=3179521
CPL,Boys U10 Division 3,Cincy SC Cincy SC B17 Premier,https://system.gotsport.com/org_event/events/43740/schedules?team=3192422
CPL,Boys U10 Division 3,Cincinnati United CUSE 16B Chelsea,https://system.gotsport.com/org_event/events/43740/schedules?team=3224502
CPL,Boys U10 Division 3,Kings Hammer Soccer Club KHPA CINCY B16-1,https://system.gotsport.com/org_event/events/43740/schedules?team=3183419
CPL,Boys U10 Division 4,Kolping SC Kolping SC B16 White,https://system.gotsport.com/org_event/events/43740/schedules?team=3217811
CPL,Boys U10 Division 4,Cincinnati Elite FC Cincinnati Elite FC B16 Gold-West,https://system.gotsport.com/org_event/events/43740/schedules?team=3219040
CPL,Boys U10 Division 4,Fairfield Optimist Soccer Club FOSC B16 Red,https://system.gotsport.com/org_event/events/43740/schedules?team=3222366
CPL,Boys U10 Division 4,Impact GFC Valhalla FC B16/B17 Blue,https://system.gotsport.com/org_event/events/43740/schedules?team=3218806
CPL,Boys U10 Division 4,Independence SC ISC B16 Sammons,https://system.gotsport.com/org_event/events/43740/schedules?team=3196617
CPL,Boys U10 Division 4,Cincinnati United CUSE 16B Dortmund,https://system.gotsport.com/org_event/events/43740/schedules?team=3224508
CPL,Boys U10 Division 4,Eclipse FC Eclipse FC Lil Mambas,https://system.gotsport.com/org_event/events/43740/schedules?team=3165169
CPL,Boys U10 Division 4,Total Ginga Academy Total Ginga Academy 2016,https://system.gotsport.com/org_event/events/43740/schedules?team=3226608
CPL,Boys U10 Division 4,Cincy SC Cincy SC B16 Orange,https://system.gotsport.com/org_event/events/43740/schedules?team=3197741
CPL,Boys U10 Division 4,Cincinnati West CWSC B16 Academy Elite,https://system.gotsport.com/org_event/events/43740/schedules?team=3223454
CPL,Boys U10 Division 4,Kings Hammer Soccer Club KHPA CINCY B16-2,https://system.gotsport.com/org_event/events/43740/schedules?team=3186439
CPL,Boys U10 Division 5,Cincinnati United CULM 16B Brechin,https://system.gotsport.com/org_event/events/43740/schedules?team=3223359
CPL,Boys U10 Division 5,Fairfield Optimist Soccer Club FOSC Lebanon Warriors Premier B2016 Maroon,https://system.gotsport.com/org_event/events/43740/schedules?team=3223324
CPL,Boys U10 Division 5,Kings Hammer Soccer Club KHPA NKY B16-2,https://system.gotsport.com/org_event/events/43740/schedules?team=3179527
CPL,Boys U10 Division 5,STAR Rush Cincinnati STAR Rush B2016 White,https://system.gotsport.com/org_event/events/43740/schedules?team=3220046
CPL,Boys U10 Division 5,Cincinnati United CUSM 16B Cologne,https://system.gotsport.com/org_event/events/43740/schedules?team=3223125
CPL,Boys U10 Division 5,NWC Alliance Soccer Club NWC Alliance 16/17 (U9) Boys Arsenal,https://system.gotsport.com/org_event/events/43740/schedules?team=3200449
CPL,Boys U10 Division 5,Cincinnati United CUSE 16B Everton,https://system.gotsport.com/org_event/events/43740/schedules?team=3224512
CPL,Boys U10 Division 5,Kings Hammer Soccer Club KHPA CINCY B16-A,https://system.gotsport.com/org_event/events/43740/schedules?team=3186446
CPL,Boys U10 Division 5,Cincy SC Cincy SC B16 White,https://system.gotsport.com/org_event/events/43740/schedules?team=3192885
