DIVISION,TEAM_NAME,SCHEDULE_LINK
Boys U9 Division 1,Cincinnati United CUSE 17B Arsenal,https://system.gotsport.com/org_event/events/43740/schedules?team=3224448
Boys U9 Division 1,Cincinnati United CUSM 17B AS Roma,https://system.gotsport.com/org_event/events/43740/schedules?team=3223438
Boys U9 Division 1,Lakota Futbol Club Lakota FC B17 Red,https://system.gotsport.com/org_event/events/43740/schedules?team=3189257
Boys U9 Division 1,Total Futbol Academy(OH) TFA B17 Elite,https://system.gotsport.com/org_event/events/43740/schedules?team=3217838
Boys U9 Division 1,Cincinnati United CULM 17B Aston Villa,https://system.gotsport.com/org_event/events/43740/schedules?team=3222949
Boys U9 Division 1,Fairfield Optimist Soccer Club FOSC B17 Red,https://system.gotsport.com/org_event/events/43740/schedules?team=3218908
Boys U9 Division 1,Academia De Futbol Ole Academia Ole 2017 Black,https://system.gotsport.com/org_event/events/43740/schedules?team=3231693
Boys U9 Division 1,Cincinnati West CWSC B17 Academy Elite,https://system.gotsport.com/org_event/events/43740/schedules?team=3197870
Boys U9 Division 1,Mercury Mercury B17 Red,https://system.gotsport.com/org_event/events/43740/schedules?team=3224536
Boys U9 Division 2,Cincinnati United CUSE 17B Barcelona,https://system.gotsport.com/org_event/events/43740/schedules?team=3224451
Boys U9 Division 2,FC Storm FC Storm B17 Loveland Orange,https://system.gotsport.com/org_event/events/43740/schedules?team=3162432
Boys U9 Division 2,Cincinnati United CUSM 17B Bologna,https://system.gotsport.com/org_event/events/43740/schedules?team=3223361
Boys U9 Division 2,Madeira FC Madeira FC B2017 Orange,https://system.gotsport.com/org_event/events/43740/schedules?team=3177762
Boys U9 Division 2,Cincinnati Elite FC Cincinnati Elite FC B17 Elite,https://system.gotsport.com/org_event/events/43740/schedules?team=3219064
Boys U9 Division 2,FC Dayton FC Dayton B17 Elite,https://system.gotsport.com/org_event/events/43740/schedules?team=3195834
Boys U9 Division 2,Cincy SC Cincy SC B17 Elite,https://system.gotsport.com/org_event/events/43740/schedules?team=3192418
Boys U9 Division 2,Cincinnati United CULM 17B Bournemouth,https://system.gotsport.com/org_event/events/43740/schedules?team=3222961
Boys U9 Division 3,STAR Rush Cincinnati STAR Rush B2017 Blue,https://system.gotsport.com/org_event/events/43740/schedules?team=3220012
Boys U9 Division 3,Cincinnati United CUSE 17B Chelsea,https://system.gotsport.com/org_event/events/43740/schedules?team=3224454
Boys U9 Division 3,FC Storm FC Storm B17 IH Orange,https://system.gotsport.com/org_event/events/43740/schedules?team=3162469
Boys U9 Division 3,Kings Hammer Soccer Club KHJR NKY B17-1,https://system.gotsport.com/org_event/events/43740/schedules?team=3179546
Boys U9 Division 3,Cincinnati United CUSM 17B Cagliari,https://system.gotsport.com/org_event/events/43740/schedules?team=3223369
Boys U9 Division 3,Kings Hammer Soccer Club KHJR CINCY B17-1,https://system.gotsport.com/org_event/events/43740/schedules?team=3184011
Boys U9 Division 4,Kings Hammer Soccer Club KHJR CINCY B17-2,https://system.gotsport.com/org_event/events/43740/schedules?team=3184006
Boys U9 Division 4,Lakota Futbol Club Lakota FC B17 Gray,https://system.gotsport.com/org_event/events/43740/schedules?team=3198789
Boys U9 Division 4,Total Futbol Academy(OH) TFA B17 Premier,https://system.gotsport.com/org_event/events/43740/schedules?team=3215481
Boys U9 Division 4,Cincy SC Cincy SC B17 Navy,https://system.gotsport.com/org_event/events/43740/schedules?team=3192416
Boys U9 Division 4,Kings Hammer Soccer Club KHJR NKY B17-2,https://system.gotsport.com/org_event/events/43740/schedules?team=3179549
Boys U9 Division 4,Cincinnati United CUSE 17B Dortmund,https://system.gotsport.com/org_event/events/43740/schedules?team=3224457
Boys U9 Division 4,Cincinnati United CULM 17B Crystal Palace,https://system.gotsport.com/org_event/events/43740/schedules?team=3223413
Boys U9 Division 4,FC Storm FC Storm B17 Loveland White,https://system.gotsport.com/org_event/events/43740/schedules?team=3162457
Boys U9 Division 4,FC Dayton FC Dayton B17 Navy,https://system.gotsport.com/org_event/events/43740/schedules?team=3195854
Boys U9 Division 5,NKY Gunners Athletic Club NKY Gunners Athletic Club B17,https://system.gotsport.com/org_event/events/43740/schedules?team=3347980
Boys U9 Division 5,Cincinnati United CUSE 17B Everton,https://system.gotsport.com/org_event/events/43740/schedules?team=3224461
Boys U9 Division 5,Cincinnati United CU Northwest 17B Atalanta,https://system.gotsport.com/org_event/events/43740/schedules?team=3229127
Boys U9 Division 5,Kings Hammer Soccer Club KHJR CINCY B17-3,https://system.gotsport.com/org_event/events/43740/schedules?team=3187346
Boys U9 Division 5,Academia De Futbol Ole Academia Ole 2017B Red,https://system.gotsport.com/org_event/events/43740/schedules?team=3231704
Boys U9 Division 5,FC Storm FC Storm B17 Loveland Black,https://system.gotsport.com/org_event/events/43740/schedules?team=3162461
Boys U9 Division 6,Lawrenceburg Greendale Soccer Club LGSC B17 Red Hawks,https://system.gotsport.com/org_event/events/43740/schedules?team=3142545
Boys U9 Division 6,Cincinnati Elite FC Cincinnati Elite FC B17 Gold,https://system.gotsport.com/org_event/events/43740/schedules?team=3219096
Boys U9 Division 6,Little Miami FC Little Miami FC 2017 Boys,https://system.gotsport.com/org_event/events/43740/schedules?team=3197609
Boys U9 Division 6,Cincy SC Cincy SC B17 Orange,https://system.gotsport.com/org_event/events/43740/schedules?team=3192411
Boys U9 Division 6,Cincinnati United CUSM 17B Dinamo Zagreb,https://system.gotsport.com/org_event/events/43740/schedules?team=3223397
Boys U9 Division 6,Madeira FC Madeira FC B2017 Blue,https://system.gotsport.com/org_event/events/43740/schedules?team=3162029
Boys U9 Division 6,Kings Hammer Soccer Club KHJR NKY B17-3,https://system.gotsport.com/org_event/events/43740/schedules?team=3179554
Boys U9 Division 7,Alliance Cincinnati SC ACSC B2017 Academy Gold,https://system.gotsport.com/org_event/events/43740/schedules?team=3289861
Boys U9 Division 7,Cincinnati United CUSE 17B Fiorentina,https://system.gotsport.com/org_event/events/43740/schedules?team=3224464
Boys U9 Division 7,Cincy SC Cincy SC B17 White,https://system.gotsport.com/org_event/events/43740/schedules?team=3192402
Boys U9 Division 7,Mercury Mercury B17 West,https://system.gotsport.com/org_event/events/43740/schedules?team=3224532
Boys U9 Division 7,Eclipse FC Eclipse FC Beasts,https://system.gotsport.com/org_event/events/43740/schedules?team=3158122
Boys U9 Division 8,Cincy SC Cincy SC B18/17 Premier,https://system.gotsport.com/org_event/events/43740/schedules?team=3238285
Boys U9 Division 8,Lakota Futbol Club LFC B18 Black,https://system.gotsport.com/org_event/events/43740/schedules?team=3128926
Boys U9 Division 8,On Goal Passion FC Passion FC 2017B Gray,https://system.gotsport.com/org_event/events/43740/schedules?team=3201295
Boys U9 Division 8,Lakota Futbol Club Lakota FC B17 White,https://system.gotsport.com/org_event/events/43740/schedules?team=3223116
Boys U9 Division 8,Independence SC ISC B17 Koking,https://system.gotsport.com/org_event/events/43740/schedules?team=3223050
Boys U9 Division 8,FC Storm FC Storm B17 IH White,https://system.gotsport.com/org_event/events/43740/schedules?team=3162474
Boys U9 Division 8,STAR Rush Cincinnati STAR Rush B2017 White,https://system.gotsport.com/org_event/events/43740/schedules?team=3220026
Boys U9 Division 8,Total Ginga Academy Total Ginga Academy 2017/18 (KY),https://system.gotsport.com/org_event/events/43740/schedules?team=3226643
Boys U9 Division 8,Total Ginga Academy Total Ginga Academy 2017/18 (OH),https://system.gotsport.com/org_event/events/43740/schedules?team=3226626
