LEAGUE,DIVISION,TEAM_NAME,SCHEDULE_LINK
CPL,Boys U9 Division 3,STAR Rush Cincinnati STAR Rush BU9 Blue,https://system.gotsport.com/org_event/events/55642/schedules?team=4190627
CPL,Boys U9 Division 3,Cincy Galaxy SC Cincy Galaxy U9B Academy Blue,https://system.gotsport.com/org_event/events/55642/schedules?team=4191848
CPL,Boys U9 Division 3,Cincinnati United Soccer Club CUSC BU9 South Club America,https://system.gotsport.com/org_event/events/55642/schedules?team=4192075
CPL,Boys U9 Division 3,Real Soccer FC Real Soccer FC B2018,https://system.gotsport.com/org_event/events/55642/schedules?team=4256029
CPL,Boys U9 Division 3,Cincinnati United Soccer Club CUSC BU9 North SM Bournemouth,https://system.gotsport.com/org_event/events/55642/schedules?team=4159754
CPL,Boys U9 Division 4,NKY Gunners Athletic Club NKY Gunners Athletic Club B17/18,https://system.gotsport.com/org_event/events/55642/schedules?team=4122534
CPL,Boys U9 Division 4,Kings Hammer Cincinnati KHA NKY BU9 Black,https://system.gotsport.com/org_event/events/55642/schedules?team=4138105
CPL,Boys U9 Division 4,Cincinnati United Soccer Club CUSC BU9 North SM Coventry City,https://system.gotsport.com/org_event/events/55642/schedules?team=4159759
CPL,Boys U9 Division 4,Cincinnati Elite FC Cincinnati Elite FC BU09 Gold (2017/18),https://system.gotsport.com/org_event/events/55642/schedules?team=4170684
CPL,Boys U9 Division 4,FC Dayton FC Dayton U9 Boys Elite,https://system.gotsport.com/org_event/events/55642/schedules?team=4171704
CPL,Boys U9 Division 4,Cincy SC Cincy SC B17-18 Elite,https://system.gotsport.com/org_event/events/55642/schedules?team=4189759
CPL,Boys U9 Division 4,Cincinnati United Soccer Club CUSC BU9 South Defensor,https://system.gotsport.com/org_event/events/55642/schedules?team=4192078
CPL,Boys U9 Division 5,FC Storm FC Storm BU9 Loveland White,https://system.gotsport.com/org_event/events/55642/schedules?team=4161052
CPL,Boys U9 Division 5,Madeira FC Madeira FC BU9 Blue,https://system.gotsport.com/org_event/events/55642/schedules?team=4175524
CPL,Boys U9 Division 5,Cincinnati Grand Futbol Cincinnati Grand Futbol Club Boys (U9),https://system.gotsport.com/org_event/events/55642/schedules?team=4190378
CPL,Boys U9 Division 5,Oak Hills Youth Athletics Oak Hills Premier Boys U9,https://system.gotsport.com/org_event/events/55642/schedules?team=4190490
CPL,Boys U9 Division 5,Kolping SC Kolping SC B36 Orange,https://system.gotsport.com/org_event/events/55642/schedules?team=4191191
CPL,Boys U9 Division 5,Cincinnati United Soccer Club CUSC BU9 South Estudiantes,https://system.gotsport.com/org_event/events/55642/schedules?team=4192080
CPL,Boys U9 Division 5,Cincinnati United Soccer Club CUSC BU9 WEST AJAX,https://system.gotsport.com/org_event/events/55642/schedules?team=4205061
CPL,Boys U9 Division 5,Mercury Mercury B2017/18 West,https://system.gotsport.com/org_event/events/55642/schedules?team=4192191
CPL,Boys U9 Division 6,Little Miami FC LMFC U9 Boys Elite,https://system.gotsport.com/org_event/events/55642/schedules?team=4134614
CPL,Boys U9 Division 6,Kings Hammer Cincinnati KHA NKY BU9 Gray,https://system.gotsport.com/org_event/events/55642/schedules?team=4138127
CPL,Boys U9 Division 6,Cincinnati United Soccer Club CUSC BU9 North LM Crystal Palace,https://system.gotsport.com/org_event/events/55642/schedules?team=4159771
CPL,Boys U9 Division 6,FC Storm FC Storm BU9 IH White,https://system.gotsport.com/org_event/events/55642/schedules?team=4161863
